work_shift,type,refinery,origin_departure_date,origin_net_weight,destination_arrival_date,destination_net_weight,raw_row_number,missing_weight_flag,weight_difference,weight_difference_sign,duplicate_group_size,duplicate_flag,origin_calendar_year,origin_calendar_month,origin_calendar_day,destination_calendar_year,destination_calendar_month,destination_calendar_day,date_format_flag,date_label_order_flag
Day shift,VB,Shiraz,1399/01/26,24350,1399/01/27,24210,90,FALSE,-140,negative_raw_difference,1,FALSE,1399,1,26,1399,1,27,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/01/26,24250,1399/01/27,24300,91,FALSE,50,positive_raw_difference,1,FALSE,1399,1,26,1399,1,27,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/01/26,24350,1399/01/27,23840,92,FALSE,-510,negative_raw_difference,1,FALSE,1399,1,26,1399,1,27,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/01/26,24640,1399/01/27,24590,93,FALSE,-50,negative_raw_difference,1,FALSE,1399,1,26,1399,1,27,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/01/27,25260,1399/01/27,25280,94,FALSE,20,positive_raw_difference,1,FALSE,1399,1,27,1399,1,27,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/01/26,24840,1399/01/27,24940,95,FALSE,100,positive_raw_difference,1,FALSE,1399,1,26,1399,1,27,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/01/26,25320,1399/01/27,25230,96,FALSE,-90,negative_raw_difference,1,FALSE,1399,1,26,1399,1,27,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/01/26,24550,1399/01/27,24330,97,FALSE,-220,negative_raw_difference,1,FALSE,1399,1,26,1399,1,27,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/01/26,23210,1399/01/28,23200,98,FALSE,-10,negative_raw_difference,1,FALSE,1399,1,26,1399,1,28,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/01/26,25060,1399/01/28,25020,99,FALSE,-40,negative_raw_difference,1,FALSE,1399,1,26,1399,1,28,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/01/27,23790,1399/01/28,23760,100,FALSE,-30,negative_raw_difference,1,FALSE,1399,1,27,1399,1,28,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,C5+,Pars Petrochemical,1399/01/26,26980,1399/01/27,26940,101,FALSE,-40,negative_raw_difference,1,FALSE,1399,1,26,1399,1,27,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/01/27,25680,1399/01/28,25710,102,FALSE,30,positive_raw_difference,1,FALSE,1399,1,27,1399,1,28,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/01/26,23460,1399/01/28,23570,103,FALSE,110,positive_raw_difference,1,FALSE,1399,1,26,1399,1,28,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/01/26,23030,1399/01/29,23030,104,FALSE,0,zero_raw_difference,1,FALSE,1399,1,26,1399,1,29,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/02/03,25710,1399/02/04,25640,105,FALSE,-70,negative_raw_difference,1,FALSE,1399,2,3,1399,2,4,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/02/03,25440,1399/02/04,25400,106,FALSE,-40,negative_raw_difference,1,FALSE,1399,2,3,1399,2,4,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/02/03,24320,1399/02/04,24310,107,FALSE,-10,negative_raw_difference,1,FALSE,1399,2,3,1399,2,4,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/02/03,22500,1399/02/04,22480,108,FALSE,-20,negative_raw_difference,1,FALSE,1399,2,3,1399,2,4,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/02/03,24400,1399/02/04,24370,109,FALSE,-30,negative_raw_difference,1,FALSE,1399,2,3,1399,2,4,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/02/03,25240,1399/02/04,25220,110,FALSE,-20,negative_raw_difference,1,FALSE,1399,2,3,1399,2,4,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/02/03,22950,1399/02/04,22920,111,FALSE,-30,negative_raw_difference,1,FALSE,1399,2,3,1399,2,4,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
