raw_row_number,Origin Departure Date,Destination Arrival Date,origin_format_matches_yyyy_mm_dd,destination_format_matches_yyyy_mm_dd,origin_components_within_broad_ranges,destination_components_within_broad_ranges,destination_label_after_or_equal_origin
238,1399/03/15,1399/03/17,TRUE,TRUE,TRUE,TRUE,TRUE
239,1399/03/15,1399/03/15,TRUE,TRUE,TRUE,TRUE,TRUE
240,1399/03/15,1399/03/15,TRUE,TRUE,TRUE,TRUE,TRUE
241,1399/03/15,1399/03/16,TRUE,TRUE,TRUE,TRUE,TRUE
242,1399/03/15,1399/03/16,TRUE,TRUE,TRUE,TRUE,TRUE
243,1399/03/16,1399/03/16,TRUE,TRUE,TRUE,TRUE,TRUE
244,1399/03/16,1399/03/16,TRUE,TRUE,TRUE,TRUE,TRUE
245,1399/03/16,1399/03/17,TRUE,TRUE,TRUE,TRUE,TRUE
246,1399/03/16,1399/03/17,TRUE,TRUE,TRUE,TRUE,TRUE
247,1399/03/16,1399/03/17,TRUE,TRUE,TRUE,TRUE,TRUE
248,1399/03/17,1399/03/17,TRUE,TRUE,TRUE,TRUE,TRUE
249,1399/03/15,1399/03/18,TRUE,TRUE,TRUE,TRUE,TRUE
250,1399/03/15,1399/03/18,TRUE,TRUE,TRUE,TRUE,TRUE
251,1399/03/17,1399/03/17,TRUE,TRUE,TRUE,TRUE,TRUE
252,1399/03/17,1399/03/18,TRUE,TRUE,TRUE,TRUE,TRUE
253,1399/03/17,1399/03/18,TRUE,TRUE,TRUE,TRUE,TRUE
254,1399/03/17,1399/03/18,TRUE,TRUE,TRUE,TRUE,TRUE
255,1399/03/12,1399/03/18,TRUE,TRUE,TRUE,TRUE,TRUE
256,1399/03/18,1399/03/19,TRUE,TRUE,TRUE,TRUE,TRUE
257,1399/03/19,1399/03/19,TRUE,TRUE,TRUE,TRUE,TRUE
258,1399/03/19,1399/03/19,TRUE,TRUE,TRUE,TRUE,TRUE
259,1399/03/19,1399/03/19,TRUE,TRUE,TRUE,TRUE,TRUE
260,1399/03/19,1399/03/20,TRUE,TRUE,TRUE,TRUE,TRUE
261,1399/03/19,1399/03/20,TRUE,TRUE,TRUE,TRUE,TRUE
262,1399/03/19,1399/03/20,TRUE,TRUE,TRUE,TRUE,TRUE
263,1399/03/19,1399/03/20,TRUE,TRUE,TRUE,TRUE,TRUE
264,1399/03/19,1399/03/20,TRUE,TRUE,TRUE,TRUE,TRUE
265,1399/03/20,1399/03/20,TRUE,TRUE,TRUE,TRUE,TRUE
