raw_row_number,Refinery,Type,Work shift,Origin Departure Date,Destination Arrival Date,Origin Net Weight,Destination Net Weight,origin_weight_numeric,destination_weight_numeric,destination_minus_origin,absolute_weight_difference,is_largest_absolute_difference,is_smallest_absolute_difference
225,South Pars,Condensate,Evening shift,1399/03/14,1399/03/15,25245,25160,25245,25160,-85,85,FALSE,FALSE
226,Tehran,VB,Evening shift,1399/03/14,1399/03/15,24940,24910,24940,24910,-30,30,FALSE,FALSE
227,Pars Petrochemical,C5+,Night shift,1399/03/14,1399/03/15,21460,21500,21460,21500,40,40,FALSE,FALSE
228,Tehran,VB,Night shift,1399/03/13,1399/03/15,26840,26760,26840,26760,-80,80,FALSE,FALSE
229,Tehran,VB,Night shift,1399/03/13,1399/03/16,26120,26050,26120,26050,-70,70,FALSE,FALSE
230,Pars Petrochemical,C5+,Night shift,1399/03/14,1399/03/16,22260,22200,22260,22200,-60,60,FALSE,FALSE
231,Tehran,VB,Night shift,1399/03/14,1399/03/16,25515,25500,25515,25500,-15,15,FALSE,FALSE
232,Tehran,VB,Night shift,1399/03/14,1399/03/16,26525,26510,26525,26510,-15,15,FALSE,FALSE
233,Pars Petrochemical,C5+,Day shift,1399/03/15,1399/03/16,22720,22680,22720,22680,-40,40,FALSE,FALSE
234,Tehran,VB,Day shift,1399/03/14,1399/03/16,24140,24110,24140,24110,-30,30,FALSE,FALSE
235,Tehran,VB,Day shift,1399/03/14,1399/03/16,26455,26420,26455,26420,-35,35,FALSE,FALSE
236,Pars Petrochemical,C5+,Evening shift,1399/03/15,1399/03/16,21440,21380,21440,21380,-60,60,FALSE,FALSE
