parent_gem_entity_id,parent,immediate_project_owner_gem_entity_id,immediate_project_owner,ownership_path_records
E100001015587,small shareholder(s),E100001015522,NuStar Energy LP,11
E100001015587,small shareholder(s),E100001015713,Société du Pipeline Sud-Européen SA,11
E100001015599,Sunoco LP,E100001015522,NuStar Energy LP,11
E100001015698,Société de Participations dans l'Industrie et le Transport du Pétrole,E100001015713,Société du Pipeline Sud-Européen SA,11
E100001015833,Blackrock Advisors LLC,E100001015522,NuStar Energy LP,11
E100001015833,Blackrock Advisors LLC,E100001015713,Société du Pipeline Sud-Européen SA,11
E100001016645,T. Rowe Price Group Inc,E100001015522,NuStar Energy LP,11
E100002001974,member/employee owned,E100001015522,NuStar Energy LP,11
E100002001974,member/employee owned,E100001015713,Société du Pipeline Sud-Européen SA,11
E100002004370,Sunoco GP LLC,E100001015522,NuStar Energy LP,11
E100002007660,J.P. Morgan Capital Holdings Ltd,E100001015713,Société du Pipeline Sud-Européen SA,11
E100002021868,ALPS holdings Inc,E100001015522,NuStar Energy LP,11
E100000000013,YPF SA,E100001015656,Oleoductos del Valle SA,10
E100000001096,BP PLC,E100001015656,Oleoductos del Valle SA,10
E100000001155,Berkshire Hathaway Inc,E100001011267,Hess Corp,10
E100000001155,Berkshire Hathaway Inc,E100001015656,Oleoductos del Valle SA,10
E100000001179,Chevron Corp,E100001011267,Hess Corp,10
E100000001179,Chevron Corp,E100001015656,Oleoductos del Valle SA,10
E100000132388,unknown,E100001015656,Oleoductos del Valle SA,10
E100000189189,Cnooc International,E100001015656,Oleoductos del Valle SA,10
E100001000348,BlackRock Inc,E100001011247,ConocoPhillips Corp,10
E100001000348,BlackRock Inc,E100001015278,ONEOK Inc,10
E100001000348,BlackRock Inc,E100001015656,Oleoductos del Valle SA,10
E100001000615,Guaranty Nominees Ltd,E100001015656,Oleoductos del Valle SA,10
E100001010595,The Vanguard Group Inc,E100001011247,ConocoPhillips Corp,10
E100001010595,The Vanguard Group Inc,E100001015278,ONEOK Inc,10
E100001010595,The Vanguard Group Inc,E100001015656,Oleoductos del Valle SA,10
E100001010596,State Street Corp,E100001011247,ConocoPhillips Corp,10
E100001010596,State Street Corp,E100001015278,ONEOK Inc,10
E100001010596,State Street Corp,E100001015656,Oleoductos del Valle SA,10
E100001011267,Hess Corp,E100001011267,Hess Corp,10
E100001011471,Government of Argentina,E100001015656,Oleoductos del Valle SA,10
E100001015278,ONEOK Inc,E100001015278,ONEOK Inc,10
E100001015587,small shareholder(s),E100001011247,ConocoPhillips Corp,10
E100001015587,small shareholder(s),E100001015278,ONEOK Inc,10
E100001015587,small shareholder(s),E100001015656,Oleoductos del Valle SA,10
E100001015833,Blackrock Advisors LLC,E100001011247,ConocoPhillips Corp,10
E100001015833,Blackrock Advisors LLC,E100001015278,ONEOK Inc,10
E100001015833,Blackrock Advisors LLC,E100001015656,Oleoductos del Valle SA,10
E100001015866,Willow Tree SARL,E100001015656,Oleoductos del Valle SA,10
E100001015867,Century Holdings SARL,E100001015656,Oleoductos del Valle SA,10
E100001015868,Endurance Corporation SARL,E100001015656,Oleoductos del Valle SA,10
E100002007660,J.P. Morgan Capital Holdings Ltd,E100001015656,Oleoductos del Valle SA,10
E100002014004,Bridas Energy Holdings Ltd,E100001015656,Oleoductos del Valle SA,10
E100001015278,ONEOK Inc,E100001014604,Magellan Midstream Partners LP,9
E100001015587,small shareholder(s),E100000000746,Shell PLC,9
E100000000127,Pembina Pipeline Corp,E100000000127,Pembina Pipeline Corp,8
E100000000250,Rongsheng Petro Chemical Co Ltd,E100000004373,Zhejiang Petroleum & Chemical Co Ltd,8
E100000000285,Tongkun Group Co Ltd,E100000004373,Zhejiang Petroleum & Chemical Co Ltd,8
E100000000315,Zhoushan Marine Comprehensive Development and Investment Co Ltd,E100000004373,Zhejiang Petroleum & Chemical Co Ltd,8
E100000000387,TotalEnergies SE,E100000152472,Novatek PJSC,8
E100000001254,Marathon Petroleum Corp,E100001015054,MPLX LP,8
E100000001492,Gazprom PJSC,E100000152472,Novatek PJSC,8
E100000121185,Rosneftegaz JSC,E100000152472,Novatek PJSC,8
E100000123261,natural person(s),E100000152472,Novatek PJSC,8
E100000124101,JUHUA Group Corp,E100000004373,Zhejiang Petroleum & Chemical Co Ltd,8
E100000124618,Hangzhou Iron & Steel Group Co,E100000004373,Zhejiang Petroleum & Chemical Co Ltd,8
E100000124885,Zhoushan Putuo District State-owned Assets Investment Operation Co Ltd,E100000004373,Zhejiang Petroleum & Chemical Co Ltd,8
E100000124886,Shengsi County State-owned Asset Investment Management Co Ltd,E100000004373,Zhejiang Petroleum & Chemical Co Ltd,8
E100000124887,Zhoushan Islands New Area Penglai State Asset Investment Group Co Ltd,E100000004373,Zhejiang Petroleum & Chemical Co Ltd,8
E100000124888,Zhoushan Dinghai District State-Owned Assets Management Co Ltd,E100000004373,Zhejiang Petroleum & Chemical Co Ltd,8
